Timestamp,CAN_ID,ECU,RPM,Speed,Engine_Temp,Fuel_Level
2025-05-06 8:04:14,0x101,ECM,3772,107,93,80
2025-05-06 8:06:24,0x102,TCM,2493,84,102,27
2025-05-06 8:04:18,0x202,ECM,1626,44,79,7
2025-05-06 8:13:00,0x301,ECM,3868,47,77,91
2025-05-06 8:08:44,0x201,BCM,2774,117,85,76
2025-05-06 8:02:12,0x202,ECM,3041,142,101,40
2025-05-06 8:02:13,0x101,TCM,1700,54,86,71
2025-05-06 8:02:14,0x102,TCM,3360,136,70,15
2025-05-06 8:09:00,0x102,ECM,2523,158,105,99
2025-05-06 8:15:52,0x201,TCM,1157,8,73,26
2025-05-06 8:02:17,0x102,ECM,3292,44,84,30
2025-05-06 8:11:30,0x202,BCM,2749,145,94,57
2025-05-06 8:23:10,0x102,ECM,735,83,81,64
2025-05-06 8:18:40,0x202,BCM,2413,92,76,42
2025-05-06 8:23:30,0x202,TCM,2759,85,109,54
2025-05-06 8:04:44,0x301,ECM,2225,135,73,8
2025-05-06 8:02:23,0x101,TCM,1130,93,90,98
2025-05-06 8:09:36,0x201,ECM,2602,160,93,47
2025-05-06 8:21:45,0x301,ECM,2844,122,103,89
2025-05-06 8:02:26,0x102,ECM,2444,106,94,79
2025-05-06 8:09:48,0x201,TCM,1787,111,106,88
2025-05-06 8:19:44,0x202,TCM,2190,60,106,65
2025-05-06 8:19:52,0x101,TCM,1301,50,91,9
2025-05-06 8:07:30,0x202,TCM,705,136,97,18
2025-05-06 8:10:04,0x201,TCM,2021,62,77,14
2025-05-06 8:10:08,0x102,TCM,1863,159,103,26
2025-05-06 8:15:18,0x102,TCM,3129,46,100,33
2025-05-06 8:15:24,0x102,ECM,2699,32,76,95
2025-05-06 8:20:40,0x301,TCM,4000,84,70,69
2025-05-06 8:05:12,0x301,TCM,3023,104,95,81
2025-05-06 8:26:10,0x101,BCM,1794,36,89,54
2025-05-06 8:10:32,0x202,TCM,3501,85,99,75
2025-05-06 8:02:39,0x101,TCM,1659,74,87,86
2025-05-06 8:21:20,0x201,TCM,4124,44,106,59
2025-05-06 8:26:50,0x101,BCM,2400,1,108,50
2025-05-06 8:02:42,0x202,BCM,3193,77,106,99
2025-05-06 8:27:10,0x102,TCM,732,57,70,63
2025-05-06 8:16:24,0x201,TCM,818,15,76,45
2025-05-06 8:16:30,0x202,BCM,653,27,81,93
2025-05-06 8:22:08,0x201,BCM,3355,25,104,32
2025-05-06 8:27:50,0x301,TCM,3854,69,104,53
2025-05-06 8:25:12,0x301,ECM,2048,32,88,12
2025-05-06 8:16:54,0x102,ECM,3266,1,78,45
2025-05-06 8:22:40,0x102,TCM,2511,16,107,97
2025-05-06 8:08:33,0x202,BCM,1619,41,71,93
2025-05-06 8:08:36,0x202,TCM,2805,24,101,45
2025-05-06 8:11:32,0x301,TCM,1203,106,108,69
2025-05-06 8:17:24,0x202,ECM,3945,36,82,55
2025-05-06 8:17:30,0x301,BCM,2790,47,97,92
2025-05-06 8:29:20,0x202,ECM,3715,75,80,11
2025-05-06 8:02:57,0x202,ECM,2145,97,82,23
2025-05-06 8:20:46,0x202,BCM,3755,121,85,62
2025-05-06 8:26:51,0x301,ECM,1338,130,79,78
2025-05-06 8:30:00,0x201,TCM,4073,78,107,81
2025-05-06 8:24:08,0x201,ECM,810,18,77,88
2025-05-06 8:30:20,0x201,ECM,608,9,100,14
2025-05-06 8:09:09,0x201,TCM,2556,120,87,35
2025-05-06 8:03:04,0x202,TCM,4173,154,73,14
2025-05-06 8:27:45,0x301,TCM,3803,108,79,33
2025-05-06 8:06:12,0x101,ECM,1545,59,109,68
2025-05-06 8:24:56,0x201,TCM,3862,135,108,53
2025-05-06 8:06:16,0x301,BCM,2625,68,107,68
2025-05-06 8:06:18,0x301,BCM,1015,104,94,91
2025-05-06 8:19:00,0x101,TCM,1196,18,87,48
2025-05-06 8:09:33,0x301,TCM,3453,59,93,10
2025-05-06 8:32:00,0x201,TCM,3419,1,106,98
2025-05-06 8:19:18,0x101,BCM,3059,31,75,81
2025-05-06 8:22:38,0x101,TCM,1104,34,77,8
2025-05-06 8:22:45,0x301,BCM,1253,155,83,69
2025-05-06 8:22:52,0x301,BCM,2518,157,88,49
2025-05-06 8:06:34,0x301,ECM,1876,16,110,15
2025-05-06 8:29:42,0x202,ECM,3300,113,90,6
2025-05-06 8:09:57,0x102,ECM,1362,93,96,37
